trader_id,date,portfolio_value
9001,2024-02-01,1010566.33
9001,2024-02-02,910199.96
9001,2024-02-03,831015.39
9001,2024-02-04,746008.62
9001,2024-02-05,699962.69
9001,2024-02-06,636583.98
9001,2024-02-07,546338.59
9001,2024-02-08,455584.23
9001,2024-02-09,375392.12
9001,2024-02-10,306044.85
9001,2024-02-11,230238.9
9001,2024-02-12,133865.6
9002,2024-02-01,1016459.58
9002,2024-02-02,948868.51
9002,2024-02-03,909125.44
9002,2024-02-04,870153.09
9002,2024-02-05,817229.61
9002,2024-02-06,739927.37
9002,2024-02-07,690315.64
9002,2024-02-08,633967.8
9002,2024-02-09,612090.96
9002,2024-02-10,533903.05
9003,2024-02-01,1005034.4
9003,2024-02-02,973489.12
9003,2024-02-03,961897.25
9003,2024-02-04,934841.93
9003,2024-02-05,916215.48
9003,2024-02-06,913220.58
9003,2024-02-07,887599.97
9003,2024-02-08,863722.52
9003,2024-02-09,853258.58
9003,2024-02-10,814593.93
9003,2024-02-11,811461.05
9003,2024-02-12,779783.69
9003,2024-02-13,769527.4
9003,2024-02-14,752208.97
9004,2024-02-01,1009418.83
9004,2024-02-02,910907.65
9004,2024-02-03,835991.01
9004,2024-02-04,739855.16
9004,2024-02-05,674900.68
9004,2024-02-06,605269.16
9004,2024-02-07,533990.01
9004,2024-02-08,431930.58
9004,2024-02-09,337172.79
