trader_id,archetype
1,overtrader
2,loss_averse
3,loss_averse
4,normal
5,normal
6,loss_averse
7,normal
8,loss_averse
9,loss_averse
10,normal
11,normal
12,normal
13,normal
14,normal
15,normal
16,overtrader
17,herder
18,loss_averse
19,overtrader
20,herder
21,normal
22,normal
23,overtrader
24,normal
25,normal
26,normal
27,normal
28,herder
29,overtrader
30,normal
31,normal
32,normal
33,normal
34,normal
35,overtrader
36,normal
37,normal
38,normal
39,loss_averse
40,normal
41,normal
42,loss_averse
43,normal
44,loss_averse
45,overtrader
46,overtrader
47,normal
48,normal
49,normal
50,loss_averse
51,normal
52,overtrader
53,normal
54,normal
55,normal
56,normal
57,loss_averse
58,normal
59,herder
60,overtrader
61,overtrader
62,overtrader
63,overtrader
64,normal
65,normal
66,normal
67,normal
68,normal
69,herder
70,normal
71,overtrader
72,normal
73,loss_averse
74,overtrader
75,normal
76,loss_averse
77,herder
78,herder
79,overtrader
80,normal
81,normal
82,herder
83,overtrader
84,normal
85,loss_averse
86,overtrader
87,overtrader
88,normal
89,normal
90,normal
91,normal
92,loss_averse
93,normal
94,normal
95,normal
96,loss_averse
97,normal
98,normal
99,normal
100,normal
101,herder
102,overtrader
103,normal
104,normal
105,loss_averse
106,normal
107,overtrader
108,overtrader
109,normal
110,normal
111,loss_averse
112,herder
113,normal
114,herder
115,normal
116,loss_averse
117,loss_averse
118,normal
119,normal
120,loss_averse
121,normal
122,overtrader
123,loss_averse
124,normal
125,overtrader
126,normal
127,normal
128,normal
129,normal
130,normal
131,herder
132,overtrader
133,normal
134,normal
135,herder
136,normal
137,herder
138,normal
139,normal
140,loss_averse
141,overtrader
142,overtrader
143,normal
144,loss_averse
145,normal
146,herder
147,normal
148,normal
149,normal
150,herder
151,normal
152,loss_averse
153,overtrader
154,overtrader
155,overtrader
156,herder
157,normal
158,normal
159,normal
160,normal
161,normal
162,herder
163,loss_averse
164,normal
165,overtrader
166,normal
167,overtrader
168,overtrader
169,normal
170,herder
171,normal
172,overtrader
173,overtrader
174,normal
175,normal
176,normal
177,loss_averse
178,loss_averse
179,overtrader
180,normal
181,herder
182,loss_averse
183,loss_averse
184,normal
185,herder
186,normal
187,normal
188,normal
189,normal
190,normal
191,normal
192,overtrader
193,normal
194,overtrader
195,normal
196,overtrader
197,normal
198,normal
199,herder
200,normal
201,loss_averse
202,overtrader
203,overtrader
204,normal
205,overtrader
206,normal
207,loss_averse
208,herder
209,loss_averse
210,normal
211,normal
212,normal
213,normal
214,overtrader
215,loss_averse
216,normal
217,loss_averse
218,loss_averse
219,normal
220,loss_averse
221,loss_averse
222,normal
223,overtrader
224,overtrader
225,overtrader
226,normal
227,overtrader
228,overtrader
229,loss_averse
230,loss_averse
231,normal
232,overtrader
233,loss_averse
234,loss_averse
235,normal
236,normal
237,overtrader
238,normal
239,overtrader
240,herder
241,normal
242,normal
243,normal
244,overtrader
245,normal
246,normal
247,normal
248,overtrader
249,loss_averse
250,normal
251,normal
252,normal
253,normal
254,normal
255,normal
256,normal
257,normal
258,loss_averse
259,overtrader
260,normal
261,normal
262,loss_averse
263,normal
264,normal
265,normal
266,normal
267,herder
268,normal
269,normal
270,loss_averse
271,overtrader
272,normal
273,normal
274,loss_averse
275,normal
276,overtrader
277,normal
278,overtrader
279,loss_averse
280,loss_averse
281,overtrader
282,normal
283,normal
284,normal
285,loss_averse
286,normal
287,normal
288,normal
289,overtrader
290,loss_averse
291,normal
292,normal
293,loss_averse
294,overtrader
295,overtrader
296,herder
297,herder
298,loss_averse
299,loss_averse
300,normal
